,Item_Identifier,Item_Type,Physical_Product_Name
4060,NCI18,Household,"Detergent, Dish Soap, Paper Towels"
4061,NCO55,Others,Miscellaneous Grocery Items
4062,FDW24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4063,NCS05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4064,FDO48,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4065,FDT35,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4066,DRN11,Hard Drinks,"Whiskey, Vodka, Rum"
4067,FDY57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4068,DRE27,Dairy,"Milk, Butter, Cheese"
4069,FDM24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4070,FDX09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4071,FDY45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4072,FDF41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4073,FDG05,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4074,FDF05,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4075,FDU19,Fruits and Vegetables,"Apples, Carrots, Spinach"
4076,DRH39,Dairy,"Milk, Butter, Cheese"
4077,FDP57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4078,FDE58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4079,DRD15,Dairy,"Milk, Butter, Cheese"
4080,FDJ52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4081,FDS01,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4082,FDZ47,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4083,FDG35,Starchy Foods,"Rice, Pasta, Potatoes"
4084,FDY45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4085,FDY04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4086,FDY47,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4087,FDE28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4088,FDJ27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4089,FDH58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4090,NCV42,Household,"Detergent, Dish Soap, Paper Towels"
4091,NCQ54,Household,"Detergent, Dish Soap, Paper Towels"
4092,FDL44,Fruits and Vegetables,"Apples, Carrots, Spinach"
4093,FDY50,Dairy,"Milk, Butter, Cheese"
4094,FDR59,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4095,FDH35,Starchy Foods,"Rice, Pasta, Potatoes"
4096,FDX08,Fruits and Vegetables,"Apples, Carrots, Spinach"
4097,FDL20,Fruits and Vegetables,"Apples, Carrots, Spinach"
4098,FDB27,Dairy,"Milk, Butter, Cheese"
4099,FDA56,Fruits and Vegetables,"Apples, Carrots, Spinach"
4100,FDV39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4101,FDU38,Dairy,"Milk, Butter, Cheese"
4102,FDT55,Fruits and Vegetables,"Apples, Carrots, Spinach"
4103,FDS24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4104,FDS15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4105,FDF05,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4106,DRP47,Hard Drinks,"Whiskey, Vodka, Rum"
4107,FDA25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4108,FDA19,Fruits and Vegetables,"Apples, Carrots, Spinach"
4109,NCM26,Others,Miscellaneous Grocery Items
4110,FDS46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4111,DRH15,Dairy,"Milk, Butter, Cheese"
4112,NCR05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4113,NCY17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4114,FDZ01,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4115,FDP31,Fruits and Vegetables,"Apples, Carrots, Spinach"
4116,FDE57,Fruits and Vegetables,"Apples, Carrots, Spinach"
4117,FDZ44,Fruits and Vegetables,"Apples, Carrots, Spinach"
4118,NCP53,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4119,NCA06,Household,"Detergent, Dish Soap, Paper Towels"
4120,FDP22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4121,FDW37,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4122,NCS30,Household,"Detergent, Dish Soap, Paper Towels"
4123,FDB40,Dairy,"Milk, Butter, Cheese"
4124,FDC51,Dairy,"Milk, Butter, Cheese"
4125,FDC11,Starchy Foods,"Rice, Pasta, Potatoes"
4126,FDC59,Starchy Foods,"Rice, Pasta, Potatoes"
4127,FDE14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4128,NCT41,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4129,FDP52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4130,DRA24,Soft Drinks,"Cola, Lemonade, Orange Juice"
4131,FDC40,Dairy,"Milk, Butter, Cheese"
4132,NCA42,Household,"Detergent, Dish Soap, Paper Towels"
4133,FDT27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4134,NCW54,Household,"Detergent, Dish Soap, Paper Towels"
4135,DRB13,Soft Drinks,"Cola, Lemonade, Orange Juice"
4136,FDY02,Dairy,"Milk, Butter, Cheese"
4137,FDS59,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4138,FDR49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4139,FDY40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4140,FDL48,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4141,DRI01,Soft Drinks,"Cola, Lemonade, Orange Juice"
4142,FDZ52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4143,FDK32,Fruits and Vegetables,"Apples, Carrots, Spinach"
4144,FDK51,Dairy,"Milk, Butter, Cheese"
4145,FDP28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4146,DRZ24,Soft Drinks,"Cola, Lemonade, Orange Juice"
4147,FDG04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4148,FDF58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4149,FDI21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4150,FDZ43,Fruits and Vegetables,"Apples, Carrots, Spinach"
4151,FDI57,Seafood,"Salmon, Shrimp, Tuna"
4152,FDV03,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4153,FDT12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4154,FDF29,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4155,FDU02,Dairy,"Milk, Butter, Cheese"
4156,FDD23,Starchy Foods,"Rice, Pasta, Potatoes"
4157,FDN04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4158,FDG29,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4159,FDK51,Dairy,"Milk, Butter, Cheese"
4160,FDB53,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4161,DRI23,Hard Drinks,"Whiskey, Vodka, Rum"
4162,FDP57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4163,FDY57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4164,NCT42,Household,"Detergent, Dish Soap, Paper Towels"
4165,FDZ21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4166,FDC50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4167,FDT40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4168,FDD50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4169,DRI23,Hard Drinks,"Whiskey, Vodka, Rum"
4170,FDQ46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4171,NCW06,Household,"Detergent, Dish Soap, Paper Towels"
4172,NCX06,Household,"Detergent, Dish Soap, Paper Towels"
4173,NCE19,Household,"Detergent, Dish Soap, Paper Towels"
4174,FDI60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4175,FDC47,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4176,FDE02,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4177,FDE11,Starchy Foods,"Rice, Pasta, Potatoes"
4178,FDP11,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4179,FDB08,Fruits and Vegetables,"Apples, Carrots, Spinach"
4180,FDL48,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4181,FDH26,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4182,FDI33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4183,FDQ26,Dairy,"Milk, Butter, Cheese"
4184,FDN03,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4185,FDO13,Breakfast,"Oats, Cornflakes, Granola"
4186,NCJ29,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4187,FDE52,Dairy,"Milk, Butter, Cheese"
4188,FDA52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4189,FDF57,Fruits and Vegetables,"Apples, Carrots, Spinach"
4190,NCO26,Household,"Detergent, Dish Soap, Paper Towels"
4191,DRL59,Hard Drinks,"Whiskey, Vodka, Rum"
4192,FDC60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4193,DRD25,Soft Drinks,"Cola, Lemonade, Orange Juice"
4194,FDB26,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4195,FDK51,Dairy,"Milk, Butter, Cheese"
4196,FDE53,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4197,FDV24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4198,FDI34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4199,FDL36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4200,NCA54,Household,"Detergent, Dish Soap, Paper Towels"
4201,FDI38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4202,FDG31,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4203,FDA21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4204,FDI09,Seafood,"Salmon, Shrimp, Tuna"
4205,FDI20,Fruits and Vegetables,"Apples, Carrots, Spinach"
4206,DRI51,Dairy,"Milk, Butter, Cheese"
4207,DRZ11,Soft Drinks,"Cola, Lemonade, Orange Juice"
4208,FDY07,Fruits and Vegetables,"Apples, Carrots, Spinach"
4209,FDC58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4210,NCC30,Household,"Detergent, Dish Soap, Paper Towels"
4211,FDY03,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4212,FDZ44,Fruits and Vegetables,"Apples, Carrots, Spinach"
4213,FDP28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4214,DRD15,Dairy,"Milk, Butter, Cheese"
4215,FDL08,Fruits and Vegetables,"Apples, Carrots, Spinach"
4216,FDP25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4217,DRK59,Hard Drinks,"Whiskey, Vodka, Rum"
4218,DRJ24,Soft Drinks,"Cola, Lemonade, Orange Juice"
4219,FDU33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4220,FDX47,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4221,FDR46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4222,FDZ56,Fruits and Vegetables,"Apples, Carrots, Spinach"
4223,NCO26,Household,"Detergent, Dish Soap, Paper Towels"
4224,FDV38,Dairy,"Milk, Butter, Cheese"
4225,FDL13,Breakfast,"Oats, Cornflakes, Granola"
4226,FDD57,Fruits and Vegetables,"Apples, Carrots, Spinach"
4227,FDE46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4228,FDB28,Dairy,"Milk, Butter, Cheese"
4229,FDC41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4230,DRI23,Hard Drinks,"Whiskey, Vodka, Rum"
4231,FDL33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4232,FDS03,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4233,NCY18,Household,"Detergent, Dish Soap, Paper Towels"
4234,FDE50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4235,FDT02,Dairy,"Milk, Butter, Cheese"
4236,FDI34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4237,FDO15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4238,DRI39,Dairy,"Milk, Butter, Cheese"
4239,NCO14,Household,"Detergent, Dish Soap, Paper Towels"
4240,NCN19,Others,Miscellaneous Grocery Items
4241,DRJ25,Soft Drinks,"Cola, Lemonade, Orange Juice"
4242,FDE10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4243,FDQ08,Fruits and Vegetables,"Apples, Carrots, Spinach"
4244,NCQ43,Others,Miscellaneous Grocery Items
4245,FDY57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4246,FDQ34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4247,NCG19,Household,"Detergent, Dish Soap, Paper Towels"
4248,FDI33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4249,FDW27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4250,FDH04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4251,FDZ39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4252,NCK19,Others,Miscellaneous Grocery Items
4253,FDY20,Fruits and Vegetables,"Apples, Carrots, Spinach"
4254,FDN39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4255,NCY41,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4256,NCN14,Others,Miscellaneous Grocery Items
4257,FDR07,Fruits and Vegetables,"Apples, Carrots, Spinach"
4258,FDW49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4259,FDN23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4260,FDS33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4261,FDY36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4262,FDH20,Fruits and Vegetables,"Apples, Carrots, Spinach"
4263,FDR15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4264,NCP50,Others,Miscellaneous Grocery Items
4265,FDS40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4266,FDG38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4267,NCO18,Household,"Detergent, Dish Soap, Paper Towels"
4268,NCO54,Household,"Detergent, Dish Soap, Paper Towels"
4269,NCW18,Household,"Detergent, Dish Soap, Paper Towels"
4270,FDB36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4271,FDJ45,Seafood,"Salmon, Shrimp, Tuna"
4272,FDP60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4273,DRD12,Soft Drinks,"Cola, Lemonade, Orange Juice"
4274,FDR47,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4275,FDJ10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4276,DRC25,Soft Drinks,"Cola, Lemonade, Orange Juice"
4277,NCW54,Household,"Detergent, Dish Soap, Paper Towels"
4278,FDA26,Dairy,"Milk, Butter, Cheese"
4279,DRF01,Soft Drinks,"Cola, Lemonade, Orange Juice"
4280,NCZ17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4281,FDK46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4282,NCU41,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4283,FDV20,Fruits and Vegetables,"Apples, Carrots, Spinach"
4284,FDT15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4285,DRI25,Soft Drinks,"Cola, Lemonade, Orange Juice"
4286,FDA40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4287,FDZ15,Dairy,"Milk, Butter, Cheese"
4288,FDM13,Breakfast,"Oats, Cornflakes, Granola"
4289,NCM05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4290,FDD38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4291,DRI01,Soft Drinks,"Cola, Lemonade, Orange Juice"
4292,DRG13,Soft Drinks,"Cola, Lemonade, Orange Juice"
4293,NCT30,Household,"Detergent, Dish Soap, Paper Towels"
4294,NCG42,Household,"Detergent, Dish Soap, Paper Towels"
4295,FDB14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4296,FDO27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4297,FDC14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4298,FDB49,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4299,FDZ23,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4300,FDJ52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4301,FDJ56,Fruits and Vegetables,"Apples, Carrots, Spinach"
4302,NCR54,Household,"Detergent, Dish Soap, Paper Towels"
4303,DRF01,Soft Drinks,"Cola, Lemonade, Orange Juice"
4304,DRK12,Soft Drinks,"Cola, Lemonade, Orange Juice"
4305,FDL58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4306,FDD44,Fruits and Vegetables,"Apples, Carrots, Spinach"
4307,FDT50,Dairy,"Milk, Butter, Cheese"
4308,DRM23,Hard Drinks,"Whiskey, Vodka, Rum"
4309,NCM31,Others,Miscellaneous Grocery Items
4310,FDY21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4311,FDR22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4312,NCV06,Household,"Detergent, Dish Soap, Paper Towels"
4313,FDR45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4314,FDH60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4315,FDR08,Fruits and Vegetables,"Apples, Carrots, Spinach"
4316,FDA47,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4317,FDS37,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4318,FDF12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4319,FDP24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4320,FDU20,Fruits and Vegetables,"Apples, Carrots, Spinach"
4321,FDW44,Fruits and Vegetables,"Apples, Carrots, Spinach"
4322,FDY39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4323,DRD37,Soft Drinks,"Cola, Lemonade, Orange Juice"
4324,FDZ35,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4325,FDB50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4326,FDY10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4327,FDK41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4328,FDL24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4329,FDZ07,Fruits and Vegetables,"Apples, Carrots, Spinach"
4330,DRI03,Dairy,"Milk, Butter, Cheese"
4331,FDW56,Fruits and Vegetables,"Apples, Carrots, Spinach"
4332,FDR20,Fruits and Vegetables,"Apples, Carrots, Spinach"
4333,FDC50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4334,NCX05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4335,FDU23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4336,FDN45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4337,FDQ51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4338,FDH21,Seafood,"Salmon, Shrimp, Tuna"
4339,DRZ11,Soft Drinks,"Cola, Lemonade, Orange Juice"
4340,NCI43,Household,"Detergent, Dish Soap, Paper Towels"
4341,DRF03,Dairy,"Milk, Butter, Cheese"
4342,NCF30,Household,"Detergent, Dish Soap, Paper Towels"
4343,FDB12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4344,FDW19,Fruits and Vegetables,"Apples, Carrots, Spinach"
4345,FDB45,Fruits and Vegetables,"Apples, Carrots, Spinach"
4346,FDY55,Fruits and Vegetables,"Apples, Carrots, Spinach"
4347,FDK40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4348,FDU11,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4349,FDP33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4350,FDN49,Breakfast,"Oats, Cornflakes, Granola"
4351,FDR15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4352,FDO38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4353,DRC24,Soft Drinks,"Cola, Lemonade, Orange Juice"
4354,NCU17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4355,FDK22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4356,DRP35,Hard Drinks,"Whiskey, Vodka, Rum"
4357,NCL29,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4358,FDG53,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4359,DRM23,Hard Drinks,"Whiskey, Vodka, Rum"
4360,FDR09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4361,NCJ30,Household,"Detergent, Dish Soap, Paper Towels"
4362,FDZ04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4363,FDM10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4364,FDR21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4365,DRJ49,Soft Drinks,"Cola, Lemonade, Orange Juice"
4366,FDJ15,Dairy,"Milk, Butter, Cheese"
4367,FDO34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4368,NCG30,Household,"Detergent, Dish Soap, Paper Towels"
4369,FDS60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4370,FDX57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4371,FDS40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4372,FDT08,Fruits and Vegetables,"Apples, Carrots, Spinach"
4373,NCN29,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4374,FDY27,Dairy,"Milk, Butter, Cheese"
4375,NCR29,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4376,FDZ02,Dairy,"Milk, Butter, Cheese"
4377,FDP40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4378,FDE11,Starchy Foods,"Rice, Pasta, Potatoes"
4379,DRL35,Hard Drinks,"Whiskey, Vodka, Rum"
4380,FDD56,Fruits and Vegetables,"Apples, Carrots, Spinach"
4381,FDO39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
4382,FDG32,Fruits and Vegetables,"Apples, Carrots, Spinach"
4383,FDU50,Dairy,"Milk, Butter, Cheese"
4384,FDX24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4385,NCN43,Others,Miscellaneous Grocery Items
4386,FDK34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4387,NCN41,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4388,FDW16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4389,FDP46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4390,NCD07,Household,"Detergent, Dish Soap, Paper Towels"
4391,FDG44,Fruits and Vegetables,"Apples, Carrots, Spinach"
4392,FDC20,Fruits and Vegetables,"Apples, Carrots, Spinach"
4393,FDB23,Starchy Foods,"Rice, Pasta, Potatoes"
4394,DRK59,Hard Drinks,"Whiskey, Vodka, Rum"
4395,FDT31,Fruits and Vegetables,"Apples, Carrots, Spinach"
4396,FDB15,Dairy,"Milk, Butter, Cheese"
4397,FDI56,Fruits and Vegetables,"Apples, Carrots, Spinach"
4398,NCQ17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4399,FDH44,Fruits and Vegetables,"Apples, Carrots, Spinach"
4400,FDP40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4401,NCR17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4402,NCO53,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4403,FDG38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4404,FDO01,Breakfast,"Oats, Cornflakes, Granola"
4405,NCQ43,Others,Miscellaneous Grocery Items
4406,FDU47,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
4407,FDZ02,Dairy,"Milk, Butter, Cheese"
4408,FDS04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4409,FDQ31,Fruits and Vegetables,"Apples, Carrots, Spinach"
4410,FDT57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4411,FDK50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4412,FDB49,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
4413,FDN56,Fruits and Vegetables,"Apples, Carrots, Spinach"
4414,FDU02,Dairy,"Milk, Butter, Cheese"
4415,FDK26,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4416,DRA24,Soft Drinks,"Cola, Lemonade, Orange Juice"
4417,FDF53,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4418,NCZ30,Household,"Detergent, Dish Soap, Paper Towels"
4419,FDF14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4420,FDU40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4421,NCL18,Household,"Detergent, Dish Soap, Paper Towels"
4422,FDP25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4423,NCV05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4424,FDV49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4425,FDJ56,Fruits and Vegetables,"Apples, Carrots, Spinach"
4426,FDI40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4427,NCK05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
4428,NCI43,Household,"Detergent, Dish Soap, Paper Towels"
4429,NCE42,Household,"Detergent, Dish Soap, Paper Towels"
4430,FDP40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4431,FDU40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
4432,DRK47,Hard Drinks,"Whiskey, Vodka, Rum"
4433,FDR32,Fruits and Vegetables,"Apples, Carrots, Spinach"
4434,FDS43,Fruits and Vegetables,"Apples, Carrots, Spinach"
4435,FDH50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
4436,FDZ09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4437,FDS19,Fruits and Vegetables,"Apples, Carrots, Spinach"
4438,NCU30,Household,"Detergent, Dish Soap, Paper Towels"
4439,FDI27,Dairy,"Milk, Butter, Cheese"
4440,FDQ09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
4441,FDB35,Starchy Foods,"Rice, Pasta, Potatoes"
4442,DRD12,Soft Drinks,"Cola, Lemonade, Orange Juice"
4443,FDW07,Fruits and Vegetables,"Apples, Carrots, Spinach"
4444,DRE13,Soft Drinks,"Cola, Lemonade, Orange Juice"
